Quote,Author,emotion
It takes a huge effort to free yourself from memory,Paulo Coelho,Joy
"They heard the click of the mail slot and flop of letters on the doormat. ""Get the mail, Dudley,""said Uncle Vernon from behind his paper. ""Make Harry get it.""""Get the mail, Harry.""""Make Dudley get it.""""Poke him with your Smelting stick, Dudley.",J.K. Rowling,Anger
"It's partly true, too, but it isn't all true. People always think something's all true.",J.D. Salinger,Joy
"There will always be someone willing to hurt you, put you down, gossip about you, belittle your accomplishments and judge your soul. It is a fact that we all must face. However, if you realize that God is a best friend that stands beside you when others cast stones you will never be afraid, never feel worthless and never feel alone.",Shannon L. Alder,Anger
"Life is both sad and solemn. We are led into a wonderful world, we meet one another here, greet each other - and wander together for a brief moment. Then we lose each other and disappear as suddenly and unreasonably as we arrived.",Jostein Gaarder,Joy
"It is the tale, not he who tells it.",Stephen King,Anger
I hate quotations. Tell me what you know.,Ralph Waldo Emerson,Anger
"Gods prefer simple, vicious games, where you Do Not Achieve Transcendence but Go Straight To Oblivion; a key to the understanding of all religion is that a god's idea of amusement is Snakes and Ladders with greased rungs.",Terry Pratchett,Anger
A young man who wishes to remain a sound atheist cannot be too careful of his reading.,C.S. Lewis,Joy
"In the shop we buy and sell them, but in truth books have no owner. Every book you see here has been somebody’s best friend.",Carlos Ruiz Zafón,Joy
We can only be said to be alive in those moments when our hearts are conscious of our treasures.,Thornton Wilder,Joy
"Always forgive, but never forget, else you will be a prisoner of your own hatred, and doomed to repeat your mistakes forever.",Wil Zeus,Anger
"One time I saw a tiny Joshua tree sapling growing not too far from the old tree. I wanted to dig it up and replant it near our house. I told Mom that I would protect it from the wind and water it every day so that it could grow nice and tall and straight. Mom frowned at me. ""You'd be destroying what makes it special,""she said. ""It's the Joshua tree's struggle that gives it its beauty.",Jeannette Walls,Joy
Love is not blind; that is the last thing that it is. Love is bound; and the more it is bound the less it is blind.,G.K. Chesterton,Anger
"Sometimes you know you've got a chance with a girl because she wants to fight with you. If the world wasn't so messed up, it wouldn't be like that. If the world was normal, a girl being nice to you would be a good sign, but in the real world, it isn't.",Nick Hornby,Anger
You might be looking for reasons but there are no reasons.,Nina LaCour,Anger
"Our individuality is all, all, that we have. There are those who barter it for security, those who repress it for what they believe is the betterment of the whole society, but blessed in the twinkle of the morning star is the one who nurtures it and rides it in, in grace and love and wit, from peculiar station to peculiar station along life's bittersweet route.",Tom Robbins,Joy
Going back to something is harder than you think.,Mitch Albom,Anger
"If you reveal your secrets to the wind,you should not blame the wind forrevealing them to the trees.",Kahlil Gibran,Anger
I am the captain of my soul.,Nelson Mandela,Joy
"Harry and Hermione are very platonic friends. But I won't answer for anyone else, nudge-nudge wink-wink!",J.K. Rowling,Joy
Pietrisycamollaviadelrechiotemexity.,Lemony Snicket,Anger
"Until an hour before the Devil fell, God thought him beautiful in Heaven.",Arthur Miller,Joy
"Lonely people tend, rather, to be lonely because they decline to bear the psychic costs of being around other humans. They are allergic to people. People affect them too strongly.",David Foster Wallace,Anger
"I suppose that one reason I have always detested religion is its sly tendency to insinuate the idea that the universe is designed with 'you' in mind or, even worse, that there is a divine plan into which one fits whether one knows it or not. This kind of modesty is too arrogant for me.",Christopher Hitchens,Anger
You are what you write.,Helvy Tiana Rosa,Anger
The person who deserves most pity is a lonesome one on a rainy day who doesn't know how to read.,Benjamin Franklin,Fear
"How would your life be different if…You stopped worrying about things you can’t control and started focusing on the things you can? Let today be the day…You free yourself from fruitless worry, seize the day and take effective action on things you can change.",Steve Maraboli,Joy
"She did not believe he could have really gone, because for her, to leave the person you loved was impossible.",Jodi Lynn Anderson,Fear
Physical love is unthinkable without violence.,Milan Kundera,Anger
"In love, one and one are one.",Jean-Paul Sartre,Joy
"Everyone has his own reality in which, if one is not too cautious, timid or frightened, one swims. This is the only reality there is.",Henry Miller,Fear
The train is roaring toward you and the villain is twirling his moustache and you're fussing that he's tied you to the tracks with the wrong kind of rope.,Robin McKinley,Anger
"With your head full of brains and your shoes full of feet, you're too smart to go down any not-so-good street.",Dr. Seuss,Joy
"If they tell you that she died of sleeping pills you must know that she died of a wasting grief, of a slow bleeding at the soul.",Clifford Odets,Anger
Deceiving others. That is what the world calls a romance.,Oscar Wilde,Fear
"Why does one begin to write? Because she feels misunderstood, I guess. Because it never comes out clearly enough when she tries to speak. Because she wants to rephrase the world, to take it in and give it back again differently, so that everything is used and nothing is lost. Because it's something to do to pass the time until she is old enough to experience the things she writes about.",Nicole Krauss,Anger
"Learning how to be still, to really be still and let life happen - that stillness becomes a radiance.",Morgan Freeman,Joy
There is simply no substitute for hard work when it comes to achieving success.,Heather Bresch,Joy
A friend in power is a friend lost.,Henry Adams,Anger
"My friends, love is better than anger. Hope is better than fear. Optimism is better than despair. So let us be loving, hopeful and optimistic. And we'll change the world.",Jack Layton,Joy
Slow down and enjoy life. It's not only the scenery you miss by going to fast - you also miss the sense of where you are going and why.,Eddie Cantor,Joy
The essence of Hinduism is the same essence of all true religions: Bhakti or pure love for God and genuine compassion for all beings.,Radhanath Swami,Joy
The humor section is the last place an author wants to be. They put your stuff next to collections of Cathy cartoons.,David Sedaris,Anger
I used language because I wanted to offer content that people - not necessarily art people - could understand.,Jenny Holzer,Joy
Progress just means bad things happen faster.,Terry Pratchett,Joy
"Without music, life would be a blank to me.",Jane Austen,Fear
We met less than a week ago and in that time I've done nothing but lie and cheat and betray you. I know. But if you give me a chance...all I want is to protect you. To be near you. For as long as I'm able.,Marissa Meyer,Joy
Westley: This is true love — you think this happens every day?,William Goldman,Joy
Nice dress. Take it off.,Janet Evanovich,Joy
it is impossible to build one's own happiness on the unhappiness of others. This perspective is at the heart of Buddhist teachings.,Daisaku Ikeda,Joy
"Your stepfather? I'd like to meet him.""Oh no... why?""I'm not sure that's a good idea.""Christian unlocks the door, his mouth in a grim line.""Are you ashamed of me?""""No!""It's my turn to sound exasperated. ""Introduce you to my dad as what? 'This is the man who deflowered me and wants to start a BDSM relationship'. You're not wearing running shoes.",E.L. James,Anger
"The meeting was like a war council with donuts. Then again, back at Camp Half-Blood they used to have their most serious discussions around the Ping-Pong table in the rec room with crackers and Cheez Whiz, so Percy felt right at home.",Rick Riordan,Joy
"God creates out of nothing. Wonderful you say. Yes, to be sure, but he does what is still more wonderful: he makes saints out of sinners.",Søren Kierkegaard,Joy
"If the stars should appear one night in a thousand years, how would men believe and adore; and preserve for many generations the remembrance of the city of God which had been shown! But every night come out these envoys of beauty, and light the universe with their admonishing smile.",Ralph Waldo Emerson,Joy
"Coaching 101: First you build the team, and then you build the torture chamber for underperformers.",Jarod Kintz,Anger
Don't let yourself die without knowing the wonder of fucking with love.,Gabriel Garcí­a Márquez,Anger
"Because I’ve got a lot more terms of endearment to use. Honey pie. Sugarplum. Bread pudding.""“Why are they all high-calorie foods?",Richelle Mead,Anger
"If I had a camera,' I said, 'I'd take a picture of you every day. That way I'd remember how you looked every single day of your life.",Nicole Krauss,Joy
"I love you. It hurts more than anything ever has, but I do. So don't you dare tell me I don't. Don't you ever say it again!",Jenny Downham,Anger
"Life is like a beautiful melody, only the lyrics are messed up.",Hans Christian Andersen,Anger
"Nelly, I am Heathcliff - he's always, always in my mind - not as a pleasure, any more then I am always a pleasure to myself - but, as my own being.",Emily Brontë,Joy
"I love you. I love you. I send this message through my fingers and into his, up his arm and into his heart. Hear me. I love you. And I'm sorry to leave you.",Jenny Downham,Joy
"If you learn to really sit with loneliness and embrace it for the gift that it is…an opportunity to get to know YOU, to learn how strong you really are, to depend on no one but YOU for your happiness…you will realize that a little loneliness goes a LONG way in creating a richer, deeper, more vibrant and colorful YOU.",Mandy Hale,Joy
I’m a book lover. I’ve probably already fucked a whole library.,Jarod Kintz,Anger
"My destination is no longer a place, rather a new way of seeing.",Marcel Proust,Joy
I never found beauty in longing for the impossible and never found the possible to be beyond my reach.,Ayn Rand,Joy
Sometimes when it looks like I'm deep in thought I'm just trying not to have a conversation with people.,Pete Wentz,Fear
"You're thinking I'm one of those wise-ass California vegetarians who is going to tell you that eating a few strips of bacon is bad for your health. I'm not. I say its a free country and you should be able to kill yourself at any rate you choose, as long as your cold dead body is not blocking my driveway.",Scott Adams,Anger
"Isabelle snorted, ""All the boys are gay. In this truck, anyway. Well, not you, Simon.""""You noticed,""said Simon. ""I think of myself as a freewheeling bisexual,""added Magnus. ""Please never say those words in front of my parents,""said Alec.",Cassandra Clare,Anger
"The quickest way to rectify that mistake (choosing the wrong person) is by learning from that, moving on, and choosing much more wisely in the future.",Greg Behrendt,Joy
There is no rule on how to write. Sometimes it comes easily and perfectly; sometimes it's like drilling rock and then blasting it out with charges.,Ernest Hemingway,Joy
I never exactly made a book. It's rather like taking dictation. I was given things to say.,C.S. Lewis,Joy
"Of all things, I liked books best.",Nikola Tesla,Joy
"A book is more than a verbal structure or series of verbal structures; it is the dialogue it establishes with its reader and the intonation it imposes upon his voice and the changing and durable images it leaves in his memory. A book is not an isolated being: it is a relationship, an axis of innumerable relationships.",Jorge Luis Borges,Joy
Live fast. Die young. Be wild. Have fun.,Lana Del Rey,Joy
"There comes a time in your life when you have to choose to turn the page, write another book or simply close it.",Shannon L. Alder,Fear
"I drank her essence, and it’s like she never existed and now I’m thirsty again. Let this be a lesson in love.",Jarod Kintz,Anger
Speak in French when you can’t think of the English for a thing--turn your toes out when you walk---And remember who you are!,Lewis Carroll,Joy
Let's be reasonable and add an eighth day to the week that is devoted exclusively to reading.,Lena Dunham,Joy
Tragedy is when I cut my finger. Comedy is when you fall into an open sewer and die.,Mel Brooks,Fear
"I'm a godmother, that's a great thing to be, a godmother. She calls me god for short, that's cute, I taught her that.",Ellen DeGeneres,Joy
"I wondered how many people there were in the world who suffered, and continued to suffer, because they could not break out from their own web of shyness and reserve, and in their blindness and folly built up a great distorted wall in front of them that hid the truth.",Daphne du Maurier,Fear
A man without words is a man without thought.,John Steinbeck,Anger
It takes a great man to be a good listener.,Calvin Coolidge,Joy
"[I]t's not just the books under fire now that worry me. It is the books that will never be written. The books that will never be read. And all due to the fear of censorship. As always, young readers will be the real losers.",Judy Blume,Fear
"I am your moon and your moonlight tooI am your flower garden and your water tooI have come all this way, eager for youWithout shoes or shawlI want you to laughTo kill all your worriesTo love youTo nourish you.",Rumi,Joy
"There are only two reasons why you leave someone you're still in love with - either it's the right thing to do, or it's the only thing to do.",Tiffany Reisz,Joy
"So,""he called to her back, ""Just out of curiosity, you know, purely conversation and all, at what age will you be entertaining offers of marriage?""""You think it'll be so easy?""she called back over her shoulder. ""No way. There will be tasks. Like in a fairy tale.""""Sounds dangerous.""""Very, so think twice.""""No need,""he said. ""You're worth it.",Laini Taylor,Anger
"I have loved to the point of madness; that which is called madness, that which to me, is the only sensible way to love.",Francois Sagon,Joy
"Happiness, you see, its just an illusion of Fate, a heavenly sleight of hand designed to make you believe in fairy tales. But there's no happily ever after. You'll only find happy endings in books. Some books.",Ellen Hopkins,Joy
"For beautiful eyes, look for the good in others; for beautiful lips, speak only words of kindness; and for poise, walk with the knowledge that you are never alone.",Sam Levenson,Joy
"I give myself a good cry if I need it. But then I concentrate on the good things still in my life. I don't allow myself any more self-pity than that. A little each every morning, a few tears, and that's all.",Mitch Albom,Joy
Just wait until he figures out I shut him out of his slut hut.,Ilona Andrews,Anger
Even the finest sword plunged into salt water will eventually rust.,Sun Tzu,Anger
"Don't ever call me mad, Mycroft. I'm not mad. I'm just ... well, differently moraled, that's all.",Jasper Fforde,Anger
"We are all wonderful, beautiful wrecks. That's what connects us--that we're all broken, all beautifully imperfect.",Emilio Estevez,Joy
Vampires. They wrote the book on possessive.,Charlaine Harris,Anger
"He then put both hands on the door on either side of my head and leaned in close, pinning me against it. I trembled like a downy rabbit caught in the clutches of a wolf. The wolf came closer. He bent his head and began nuzzling my cheek. The problem was…I wanted the wolf to devour me.",Colleen Houck,Fear
"When I dance, I’m so fluid you could drink my moves. And if you sip it with your morning coffee, you’ll be light on your feet all day.",Jarod Kintz,Joy
"Life isn’t about what you get, it’s about what you DO with what you get.",Stephanie Perkins,Joy
"All right,""Clara said. ""We have our swordsman, so let's get moving. Brigan, could you attempt, at least, to make yourself presentable? I know this is a war, but the rest of us are trying to pretend it's a party.",Kristin Cashore,Joy
"When you're screwing up and nobody says anything to you anymore, that means they've given up on you.",Randy Pausch,Anger
Whoever said the pen is mightier than the sword obviously never encountered automatic weapons.,Douglas MacArthur,Anger
The true measure of success is how many times you can bounce back from failure.,Stephen Richards,Joy
"I didn't want it to be one good memory that led to a lot of bad ones. I wanted it to stay what it was, one amazing moment, something that was strong and sweet enough to stand on its own. Something I could remember without any pain. - Kate",Elizabeth Scott,Joy
"Read a thousand books, and your words will flow like a river.",Lisa See,Fear
The story is always better than your ability to write it.,Robin McKinley,Joy
"If a man does not keep pace with his companions, perhaps it is because he hears a different drummer. Let him step to the music which he hears, however measured or far away.",Henry David Thoreau,Joy
You cannot allow your desire to be a winner to be diminished by achieving success before and I believe there is room for improvement in every sportsman.,Lionel Messi,Joy
How delightful to find a friend in everyone.,Joseph Brodsky,Joy
Don't give up. Don't lose hope. Don't sell out.,Christopher Reeve,Joy
"The terrorists thought they would change my aims and stop my ambitions, but nothing changed in my life except this: weakness, fear and hopelessness died. Strength, power and courage were born.",Malala Yousafzai,Fear
"If I have the power to post 'Happy Birthday' on someone's Facebook page and make them feel really good, it feels really good to make other people feel really good. I love it. I'm a huge Facebook and Twitter person. And I love talking to my fans. It's fun.",Rebecca Mader,Joy
I think a lot of humor is about distracting yourself. Pretend you're not trying to make it funny. Because for some reason the effort to be funny smells like sulphur in our culture.,Sloane Crosley,Joy
"Copy, art, and typography should be seen as a living entity; each element integrally related, in harmony with the whole, and essential to the execution of an idea.",Paul Rand,Joy
"It’s not that we have to quit this life one day, but it’s how many things we have to quit all at once: music, laughter,the physics of falling leaves, automobiles, holding hands,the scent of rain, the concept of subway trains... if only one could leave this life slowly!",Roman Payne,Joy
Love isn’t in a hurry like a flurry of flowery words on paper. It’s lush and slow to grow its aroma in the garden of time.,Jarod Kintz,Joy
"Absence is to love what wind is to fire; it extinguishes the small, it inflames the great.",Roger de Bussy-Rabutin,Joy
"Kung matatakot kang harapin ang totoo at sabihin ang talagang nararamdaman mo dahil baka masaktan ka, isa lang ibig sabihin noon: ipinagkait mo na sa sarili mo ang pagiging masaya at kinarir mo ang magpakatanga.",Bob Ong,Joy
"I thought it sounded a bit like Percy singing... maybe you've got to attack him while he's in the shower, Harry.",J.K. Rowling,Anger
I would never want to be a member of a group whose symbol was a man nailed to two pieces of wood.,George Carlin,Anger
Some people come into our lives and leave footprints on our hearts and we are never ever the same.,Flavia Weedn,Joy
What has he found who has lost God?And what has he lost who has found God?,Ibn 'Ata' Allah Al-Iskandari,Anger
"Let’s be romantic and dance in the rain. I’ll prove my feelings for you by bringing an umbrella, because I’m drowning in my love for you.",Jarod Kintz,Joy
"I don’t want my love with her to wither like grapes on a vine, so I’ll water it with romance to turn it into wine.",Jarod Kintz,Joy
إحدى مشكلاتنا أن ذكرياتنا أكثر وضوحاً من أحلامنا,ياسر حارب,Anger
"Me: On time. Love: Late. Death: Early. Seriously, why are you late?",Jarod Kintz,Anger
I like being the girl nobody can have.,Miley Cyrus,Anger
"Ever since time began, people have recognized their true Love by the light in their eyes.",Paulo Coelho,Joy
"and when all the wars are over, a butterfly will still be beautiful.",Ruskin Bond,Joy
"Your love story, I don’t want to give away the ending, but both you and your lover die.",Jarod Kintz,Anger
The first rule is to keep an untroubled spirit. The second is to look things in the face and know them for what they are.,Marcus Aurelius,Joy
"He was an introverted kid, so I didn’t send him to his room as punishment. No, I took him to a party.",Jarod Kintz,Anger
"Hey, our hair's the same color,""I said, eying us side by side in the mirror.""Sure is, girlfriend.""Eric grinned at me.",Charlaine Harris,Joy
"Sweater, n. Garment worn by child when its mother is feeling chilly.",Ambrose Bierce,Anger
"To be stupid, and selfish, and to have good health are the three requirements for happiness - though if stupidity is lacking, the others are useless.",Julian Barnes,Anger
It’s always hard to lose somebody. It leaves a hole in you heart that never grows back.,Kevin Brooks,Fear
I can calculate the motion of heavenly bodies but not the madness of people.,Isaac Newton,Anger
"If a man can possess a woman sexually -really possess- he won't need to control her ideas, her opinions, her clothes, her friends, even her other lovers.",Toni Bentley,Anger
"She was the third beer. Not the first one, which the throat receives with almost tearful gratitude; nor the second, that confirms and extends the pleasure of the first. But the third, the one you drink because it's there, because it can't hurt, and because what difference does it make?",Toni Morrison,Joy
"Writing is not necessarily something to be ashamed of, but do it in private and wash your hands afterwards.",Robert A. Heinlein,Anger
"Every politician has a promising career. Unfortunately, most of them do not keep those promises.",Jarod Kintz,Joy
"Never lend books, for no one ever returns them; the only books I have in my library are books that other folks have lent me.",Anatole France,Joy
Do you know what your problem is? You can't live with the idea that someone might leave.,John Green,Fear
"Love demands everything, they say, but my love demands only this: that no matter what happens or how long it takes, you`ll keep faith in me, you`ll remember who we are, and you`ll never feel despair.",Ann Brashares,Joy
"I just looked at her, feeling utterly empty. I didn’t know what I was supposed to say to her. My life is in that bed. Please let me stay.",Maggie Stiefvater,Joy
"I had a dream about you. No words were exchanged, but we spoke with our eyes. My eyes said, “I love you,” while your eyes told me, “I’m asleep.” You always were more romantic than me.",Jarod Kintz,Joy
"To be loved but not known is comforting but superficial. To be known and not loved is our greatest fear. But to be fully known and truly loved is, well, a lot like being loved by God. It is what we need more than anything. It liberates us from pretense, humbles us out of our self-righteousness, and fortifies us for any difficulty life can throw at us.",Timothy Keller,Joy
I always look like I’m lying. I was born with a politician’s face. You’ll know I’m in love when I have a Vote For Me look in my eyes.,Jarod Kintz,Joy
"I think joy and sweetness and affection are a spiritual path. We're here to know God, to love and serve God, and to be blown away by the beauty and miracle of nature. You just have to get rid of so much baggage to be light enough to dance, to sing, to play. You don't have time to carry grudges; you don't have time to cling to the need to be right.",Anne Lamott,Joy
"I always appear smarter when I dress up in my giant nipple costume. I know this because I'll overhear people say things like, 'At least he's not a complete boob.",Jarod Kintz,Joy
"You won't even take your bow? Are you planning to throttle a moose with your bare hands, then?""""I've a knife in my boot,""she said, and then wondered, for a moment, if she could throttle a moose with her bare hands.",Kristin Cashore,Anger
[In the Universe it may be that] Primitive life is very common and intelligent life is fairly rare. Some would say it has yet to occur on Earth.,Stephen Hawking,Joy
No one is actually dead until the ripples they cause in the world die away...,Terry Pratchett,Fear
Knowledge will bring you the opportunity to make a difference.,Claire Fagin,Joy
"The more you are motivated by Love, The more Fearless & Free your action will be.",Dalai Lama XIV,Joy
"Being in love with someone who doesn't even know you exist isn't the worst thing in the world. In fact, it's quite the oppostie. Almost like passing in a term paper that you know sucked, but having that period of time where you haven't gotten your grade back yet -- that kind of exhale where you haven't been rejected, although you pretty much know how it's going to turn out.",Tonya Hurley,Anger
"He was too perfect, despite being one of the most imperfect people I knew.",Richelle Mead,Joy
"I love the sound of the trees in the breeze. If the forest is so clearly musical, why can’t it play the guitar while I sing Nirvana covers?",Jarod Kintz,Joy
"I’ll wear a maze on a necklace, dangling over my chest, because if you want to get at my heart, you have to be ready to lose yourself.",Jarod Kintz,Joy
"God turns you from one feeling to another and teaches by means of opposites so that you will have two wings to fly, not one",Rumi,Joy
"I used to think how lucky she was to have me, but now I realize that’s backwards. A spirit of gratitude yields patience, love, and forgiveness.",Jarod Kintz,Joy
First you jump off the cliff and build your wings on the way down.,Ray Bradbury,Fear
"I've noticed that when people are joking they're usually dead serious, and when they're serious, they're usually pretty funny.",Jim Morrison,Joy
"As is a tale, so is life: not how long it is, but how good it is, is what matters.",Seneca,Joy
A dysfunctional family is any family with more than one person in it.,Mary Karr,Anger
"Mary-Lynnette: ""You have not read 'Pride and Prejudice'.""Ash: ""Why not?""Mary-Lynnette: ""Because Jane Austen was a human.""Ash: ""How do you know?""Mary-Lynnette: ""Well Jane Austen was a woman, and you're a chauvinist pig.""Ash: ""Yes, well, that I can't argue.",L.J. Smith,Anger
"When someone tells you somebody’s been murdered, laughing is probably not the best response. You know, for future reference.But laughing is exactly what I did.",Rachel Hawkins,Joy
"Either you repeat the same conventional doctrines everybody is saying, or else you say something true, and it will sound like it's from Neptune.",Noam Chomsky,Joy
"If you believe what you like in the Gospel, and reject what you don't like, it is not the Gospel you believe, but yourself.",Augustine of Hippo,Joy
[God] will not be used as a convenience. Men or nations who think they can revive the Faith in order to make a good society might just as well think they can use the stairs of heaven as a shortcut to the nearest chemist's shop.,C.S. Lewis,Joy
"I wonder if rooms in an insane asylum have Do Not Disturb signs for the doors. I should hope not, because knock or no knock, every occupant in those rooms is already disturbed.",Jarod Kintz,Fear
"Poetry is a life-cherishing force. For poems are not words, after all, but fires for the cold, ropes let down to the lost, something as necessary as bread in the pockets of the hungry.",Mary Oliver,Anger
Always read stuff that will make you look good if you die in the middle of it.,P.J. O'Rourke,Joy
A joke is a very serious thing.,Winston S. Churchill,Anger
"To be invisible, paint yourself with the direct shade of zero. Leave nothing to chance, by taking nothing with you wherever you go.",Jarod Kintz,Fear
"My shadow follows me during the day, and then surrounds me at night as it clones itself into complete darkness. Now that’s self-love.",Jarod Kintz,Joy
"The first stab of love is like a sunset, a blaze of color -- oranges, pearly pinks, vibrant purples...",Anna Godbersen,Joy
"The whole world is divided for me into two parts: one is she, and there is all happiness, hope, light; the other is where she is not, and there is dejection and darkness...",Leo Tolstoy,Joy
Creo que todos tenemos un poco de esa bella locura que nos mantiene andando cuando todo alrededor es tan insanamente cuerdo.,Julio Cortázar,Anger
The cosmos is within us. We are made of star-stuff. We are a way for the universe to know itself.,Carl Sagan,Joy
"No one ever does live happily ever after, but we leave the children to find that out for themselves.",Stephen King,Joy
Are those the only options? Nothing or forever?,Sarah Dessen,Fear
I love Guns N’ Roses. Reminds me of the last time I tried to pick flowers from my neighbor’s garden.,Jarod Kintz,Fear
What would you do if you weren't afraid?,Sheryl Sandberg,Fear
"Too much sanity may be madness — and maddest of all: to see life as it is, and not as it should be!",Dale Wasserman,Anger
"Out of the corner of his eye, he saw Tyson pounding the Earthborn into the ground like a game of whack-a-mole. Ella was fluttering above him, dodging missiles and calling out advice: ""The groin. The Earthborn's groin is sensitive.""SMASH!""Good. Yes. Tyson found its groin.",Rick Riordan,Joy
A great many people think they are thinking when they are merely rearranging their prejudices.,William James,Anger
"Yes, boys are a little like shoes. Why? Well...They can be useful. But mainly...They are nice to look at. Getting the right one can be a lovely accessory to an outfit. There are times when you couldn't do without them. And there are times when you'd rather do without them. Get the wrong ones and they can hurt. There are many types and often the ones that look the nicest are completely unpractical.",Rachel Hill,Joy
I think you ought to know I'm feeling very depressed.,Douglas Adams,Anger
In darkness God's truth shines most clear.,Corrie ten Boom,Joy
I call him religious who understands the suffering of others.,Mahatma Gandhi,Joy
"If you had started doing anything two weeks ago, by today you would have been two weeks better at it.",John Mayer,Joy
Love and desire are the spirit's wings to great deeds.,Johann Wolfgang von Goethe,Joy
No one who achieves success does so without acknowledging the help of others. The wise and confident acknowledge this help with gratitude.,Alfred North Whitehead,Joy
"He has no enemies, but is intensely disliked by his friends.",Oscar Wilde,Anger
"I'm a romantic; a sentimental person thinks things will last, a romantic person hopes against hope that they won't.",F. Scott Fitzgerald,Joy
"I am happy to say that everyone that I have met in my life, I have gained something from them; be it negative or positive, it has enforced and reinforced my life in some aspect.",Walter Payton,Joy
"I have no doubt concerning that Supreme Goodness, who is so eager to share His blessings, or of that everlasting love which makes Him more eager to bestow perfection on us than we are to receive it.",Saint Ignatius,Joy
"My humor is a lot like Kristen Wiig's from 'Saturday Night Live' or 'Bridesmaids.' Quirky, off the beaten path.",Nicole Ari Parker,Joy
"I would love to spend all my time writing to you; I'd love to share with you all that goes through my mind, all that weighs on my heart, all that gives air to my soul; phantoms of art, dreams that would be so beautiful if they could come true.",Luigi Pirandello,Joy
"Because isn’t that the point of every relationship: to be known by someone else, to be understood? He gets me. She gets me. Isn’t that the simple magic phrase?",Gillian Flynn,Joy
"I hope you live a life you’re proud of. If you find that you’re not, I hope you have the strength to start all over again.",Eric Roth,Joy
"If you're not comfortable enough with yourself or with your own truth when entering a relationship, then you're not ready for that relationship.",Steve Maraboli,Joy
String several words together in a sentence and you have a language necklace. My I love you would look great with your favorite red dress.,Jarod Kintz,Joy
"She was bored. She loved, had capacity to love, for love, to give and accept love. Only she tried twice and failed twice to find somebody not just strong enough to deserve it, earn it, match it, but even brave enough to accept it.",William Faulkner,Joy
"What's your heart telling you to do?I don't know.'Maybe, you're trying too hard to hear it.",Nicholas Sparks,Fear
I'd like to get away from earth awhileAnd then come back to it and begin over.May no fate wilfully misunderstand meAnd half grant what I wish and snatch me awayNot to return. Earth's the right place for love:I don't know where it's likely to go better.,Robert Frost,Joy
"I'm sure you think that I don't understand what you're going through, but I do. It's just that sometimes, our future is dictated by what we are, opposed to what we want.",Nicholas Sparks,Anger
"I had a dream about you. I said green was blue and yellow, and you said green was yellow and blue. You were like that with everything I said, taking the exact opposite stance, yet completely agreeing with me. That’s how I knew you loved me.",Jarod Kintz,Joy
"In times of stress, the best thing we can do for each other is to listen with our ears and our hearts and to be assured that our questions are just as important as our answers.",Fred Rogers,Joy
"We are all of us born with a letter inside us, and that only if we are true to ourselves, may we be allowed to read it before we die.",Douglas Coupland,Joy
"Because teachers, no matter how kind, no matter how friendly, are sadistic and evil to the core.",Heather Brewer,Anger
...even a tiny bit of deceit is dishonorable when it's used for selfish or cowardly reasons.- Mr. Penderwick,Jeanne Birdsall,Anger
"As with most of life's problems, this one can be solved by a box of pure radiation.",Andy Weir,Joy
"Hope may be the thing that pulls you forward, may be the thing that keeps you going, but that it's dangerous, that it's painful and risky, that it's making a dare in the world and when has the world ever let us win a dare?",Patrick Ness,Anger
"I know, too, that death is the only god who comes when you call.",Roger Zelazny,Joy
Why don’t we break up? I guess I stay with her because she stays with me. And that’s not an easy thing to do.,John Green,Anger
There is no school equal to a decent home and no teacher equal to a virtuous parent.,Mahatma Gandhi,Joy
It is only through mystery and madness that the soul is revealed,Thomas Moore,Fear
Reading is that fruitful miracle of a communication in the midst of solitude.,Marcel Proust,Joy
"The goal of life is to make your heartbeat match the beat of the universe, to match your nature with Nature.",Joseph Campbell,Joy
"You have to, take a deep breath. and allow the music to flow through you. Revel in it, allow yourself to awe. When you play allow the music to break your heart with its beauty.",Kelly White,Joy
He is ugly and sad... but he is all love.,Gabriel Garcí­a Márquez,Anger
Learn to deal with the fact that you are not a perfect person but you are a person that deserves respect and honesty.,Pandora Poikilos,Joy
"No, this trick won't work... How on earth are you ever going to explain in terms of chemistry and physics so important a biological phenomenon as first love?",Albert Einstein,Joy
"I run after her, not really giving chase. I’m running because I can, because I must.Because I want to see how far I can go before I have to stop.",Libba Bray,Fear
"I may not look like much, but I'm an expert at pretending to be a ninja.",Darynda Jones,Joy
"If it's a penny for your thoughts and you put in your two cents worth, then someone, somewhere is making a penny.",Steven Wright,Joy
"Every time you do a good deed you shine the light a little farther into the dark. And the thing is, when you're gone that light is going to keep shining on, pushing the shadows back.",Charles de Lint,Fear
What saves a man is to take a step. Then another step.,Antoine de Saint-Exupéry,Joy
"To keep your marriage brimming, with love in the wedding cup, whenever you're wrong, admit it; whenever you're right, shut up.",Ogden Nash,Joy
I do not know everything; still many things I understand.,Madeleine L'Engle,Joy
"Water is the softest thing, yet it can penetrate mountains and earth. This shows clearly the principle ofsoftness overcoming hardness.",Lao Tzu,Joy
I know of no society in human history that ever suffered because its people became too desirous of evidence in support of their core beliefs.,Sam Harris,Anger
"You will hear thunder and remember me, And think: she wanted storms. The rim Of the sky will be the colour of hard crimson, And your heart, as it was then, will be on fire.",Anna Akhmatova,Anger
"And I mean to hear ye groan like that again. And to moan and sob, even though you dinna wish to, for ye canna help it. I mean to make you sigh as though your heart would break, and scream with the wanting, and at last to cry out in my arms, and I shall know that I've served ye well.",Diana Gabaldon,Joy
